MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
"SSTUB32868ET/S,518",NXP USA Inc.,IC CONFIG REG BUF 28BIT 176TFBGA,clock-timing-programmable-timers-oscillators,0,2.03599,176-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUB32868.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUB32868ET-S-518/1693076,,1:2 Configurable Registered Buffer with Parity,28,0°C ~ 85°C,,,1.7V ~ 2V
SSTUB32872AHLF,Renesas Electronics Corporation,IC REGISTER BUFF 28BIT 96-CABGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.renesas.com/us/en/document/dst/sstub32872a-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTUB32872AHLF/2019858,,Registered Buffer for DDR2,28,0°C ~ 70°C,,,1.7V ~ 1.9V
SSTUB32S868BHLF,Renesas Electronics Corporation,IC REGISTER BUFF 25BIT 176-CABGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/645/SSTUB32S868BHLF.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTUB32S868BHLF/2019864,,Registered Buffer for DDR2,25,,,,1.7V ~ 1.9V
SSTUB32S868BHLFT,Renesas Electronics Corporation,IC REGISTER BUFF 25BIT 176-CABGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/645/SSTUB32S868BHLFT.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTUB32S868BHLFT/2019865,,Registered Buffer for DDR2,25,,,,1.7V ~ 1.9V
SSTUB32S868CHLF,Renesas Electronics Corporation,IC REGISTER BUFF 25BIT 176-CABGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTUB32S868CHLF/2019866,,Registered Buffer for DDR2,25,,,,1.7V ~ 1.9V
SSTUB32S868CHLFT,Renesas Electronics Corporation,IC REGISTER BUFF 25BIT 176-CABGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTUB32S868CHLFT/2019867,,Registered Buffer for DDR2,25,,,,1.7V ~ 1.9V
SSTUB32S868DHLF,Renesas Electronics Corporation,IC REGISTER BUFF 25BIT 176-CABGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,https://www.renesas.com/us/en/document/dst/sstub32s868d-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTUB32S868DHLF/2019868,,Registered Buffer for DDR2,25,,,,1.7V ~ 1.9V
SSTUB32S868DHLFT,Renesas Electronics Corporation,IC REGISTER BUFF 25BIT 176-CABGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,https://www.renesas.com/us/en/document/dst/sstub32s868d-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTUB32S868DHLFT/2019869,,Registered Buffer for DDR2,25,,,,1.7V ~ 1.9V
"SSTUG32865ET/G,518",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUG32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUG32865ET-G-518/1693077,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 2V
"SSTUG32865ET/S,518",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUG32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUG32865ET-S-518/1693078,,1:2 Registered Buffer with Parity,28,0°C ~ 85°C,,,1.7V ~ 2V
"SSTUG32866EC/G,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.62908,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUG32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUG32866EC-G-518/1693079,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 2V
"SSTUG32866EC/S,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.62908,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUG32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUG32866EC-S-518/1693080,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 85°C,,,1.7V ~ 2V
"SSTUG32868ET/G,518",NXP USA Inc.,IC CONFIG REG BUF 28BIT 176TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUG32868.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUG32868ET-G-518/1693081,,1:2 Configurable Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 2V
"SSTUG32868ET/S,518",NXP USA Inc.,IC CONFIG REG BUF 28BIT 176TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUG32868.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUG32868ET-S-518/1693082,,1:2 Configurable Registered Buffer with Parity,28,0°C ~ 85°C,,,1.7V ~ 2V
"SSTUH32864EC,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32864.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32864EC-518/1158351,,1:2 Configurable Registered Buffer,"25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32864EC,551",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32864.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32864EC-551/1158350,,1:2 Configurable Registered Buffer,"25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32864EC,557",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32864.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32864EC-557/1158346,,1:2 Configurable Registered Buffer,"25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32864EC/G,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.62908,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32864.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32864EC-G-518/1158349,,1:2 Configurable Registered Buffer,"25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32864EC/G,551",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.79818,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32864.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32864EC-G-551/1158348,,1:2 Configurable Registered Buffer,"25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32864EC/G,557",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.67655,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32864.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32864EC-G-557/1158347,,1:2 Configurable Registered Buffer,"25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32865ET,518",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32865ET-518/1158356,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32865ET,551",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32865ET-551/1158355,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32865ET,557",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32865ET-557/1158352,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32865ET/G,518",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,2.03599,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32865ET-G-518/1158354,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32865ET/G,551",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,2.34042,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32865ET-G-551/1144540,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32865ET/G,557",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,2.15467,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32865ET-G-557/1158353,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32866EC,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32866EC-518/1158362,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32866EC,551",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32866EC-551/1158361,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32866EC,557",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32866EC-557/1158357,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32866EC/G,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.62908,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32866EC-G-518/1158360,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32866EC/G,551",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.79818,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32866EC-G-551/1158359,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUH32866EC/G,557",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.67655,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUH32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUH32866EC-G-557/1158358,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 1.9V
"SSTUM32865ET/G,518",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUM32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUM32865ET-G-518/1693083,,1:2 Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 2V
"SSTUM32865ET/S,518",NXP USA Inc.,IC REGSTR BUFFER 28BIT 160-TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,160-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUM32865.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUM32865ET-S-518/1693084,,1:2 Registered Buffer with Parity,28,0°C ~ 85°C,,,1.7V ~ 2V
"SSTUM32866EC/S,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,2.02727,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUM32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUM32866EC-S-518/1693085,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 85°C,,,1.7V ~ 2V
"SSTUM32868ET,518",NXP USA Inc.,IC CONFIG REG BUF 28BIT 176TFBGA,clock-timing-programmable-timers-oscillators,0,0.0,176-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUM32868.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUM32868ET-518/1301047,,1:2 Configurable Registered Buffer with Parity,28,0°C ~ 70°C,,,1.7V ~ 2V
"SSTUM32868ET/S,518",NXP USA Inc.,IC CONFIG REG BUF 28BIT 176TFBGA,clock-timing-programmable-timers-oscillators,0,2.03599,176-TFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUM32868.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUM32868ET-S-518/1693086,,1:2 Configurable Registered Buffer with Parity,28,0°C ~ 85°C,,,1.7V ~ 2V
"SSTUP32866EC/G,518",NXP USA Inc.,IC CONF REG BUF 25-14BIT 96LFBGA,clock-timing-programmable-timers-oscillators,0,1.62908,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTUP32866.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTUP32866EC-G-518/1301048,,"1:1, 1:2 Configurable Registered Buffer with Parity","25, 14",0°C ~ 70°C,,,1.7V ~ 2V
"SSTV16857DGG,112",NXP USA Inc.,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857DGG-112/2406229,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857DGG,118",NXP USA Inc.,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857DGG-118/2406230,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857DGG,512",NXP USA Inc.,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.75572,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857DGG-512/1158363,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857DGG,518",NXP USA Inc.,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.73354,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857DGG-518/1158364,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857DGV,112",NXP USA Inc.,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"48-TFSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857DGV-112/1158365,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857DGV,118",NXP USA Inc.,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"48-TFSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857DGV-118/1158366,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857EV,118",NXP USA Inc.,IC REGISTER BUFFER 14BIT 56VFBGA,clock-timing-programmable-timers-oscillators,0,0.0,56-VFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857EV-118/1158369,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857EV,151",NXP USA Inc.,IC REGISTER BUFFER 14BIT 56VFBGA,clock-timing-programmable-timers-oscillators,0,0.0,56-VFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857EV-151/1158368,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16857EV,157",NXP USA Inc.,IC REGISTER BUFFER 14BIT 56VFBGA,clock-timing-programmable-timers-oscillators,0,0.0,56-VFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16857.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16857EV-157/1158367,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
SSTV16857MTDX,Fairchild Semiconductor,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,13221,2.05,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/5lwfjdpabj/RSELS09814-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SSTV16857MTDX/12124878,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,0°C ~ 70°C,,,2.3V ~ 2.7V
"SSTV16859BS,118",NXP USA Inc.,IC REGTR BUFF 13-26BIT 56-HVQFN,clock-timing-programmable-timers-oscillators,0,0.81576,56-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859BS-118/1158371,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16859BS,151",NXP USA Inc.,IC REGTR BUFF 13-26BIT 56-HVQFN,clock-timing-programmable-timers-oscillators,0,0.0,56-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859BS-151/1144541,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16859BS,157",NXP USA Inc.,IC REGTR BUFF 13-26BIT 56-HVQFN,clock-timing-programmable-timers-oscillators,0,0.82968,56-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859BS-157/1158370,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16859DGG,112",NXP USA Inc.,IC REGTR BUFF 13-26BIT 64-TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"64-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859DGG-112/1158372,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16859DGG,118",NXP USA Inc.,IC REGTR BUFF 13-26BIT 64-TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"64-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859DGG-118/1158373,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16859EC,518",NXP USA Inc.,IC REGTR BUFF 13-26BIT 96-LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859EC-518/1158376,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16859EC,551",NXP USA Inc.,IC REGTR BUFF 13-26BIT 96-LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859EC-551/1158375,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
"SSTV16859EC,557",NXP USA Inc.,IC REGTR BUFF 13-26BIT 96-LFBGA,clock-timing-programmable-timers-oscillators,0,0.0,96-LFBGA,Surface Mount,Obsolete,https://www.nxp.com/docs/en/data-sheet/SSTV16859.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SSTV16859EC-557/1158374,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
SSTV16859GX,Fairchild Semiconductor,IC REGTR BUFF 13-26BIT 96-FBGA,clock-timing-programmable-timers-oscillators,2500,2.05,96-LFBGA,Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/7ttp274zwo/FAIRS43209-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SSTV16859GX/11557242,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
SSTV16859MTD,onsemi,IC REGTR BUFF 13-26BIT 64-TSSOP,clock-timing-programmable-timers-oscillators,0,3.73107,"64-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/953/SSTV16859.pdf,https://www.digikey.com/en/products/detail/onsemi/SSTV16859MTD/1955183,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
SSTV16859MTDX,Fairchild Semiconductor,IC REGTR BUFF 13-26BIT 64-TSSOP,clock-timing-programmable-timers-oscillators,35864,3.43,"64-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/7ttp274zwo/FAIRS43209-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SSTV16859MTDX/11557490,,Registered Buffer with SSTL_2 Compatible I/O for DDR,"13, 26",0°C ~ 70°C,,74SSTV,2.3V ~ 2.7V
SSTVA16857AGLF,Renesas Electronics Corporation,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTVA16857AGLF/2019893,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,,,,
SSTVA16857AGLFT,Renesas Electronics Corporation,IC REGISTER BUFFER 14BIT 48TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/SSTVA16857AGLFT/2019894,,Registered Buffer with SSTL_2 Compatible I/O for DDR,14,,,,
